imo,authority,inspection_port,report_data,detention,psc_org,inspection_type,duration_days,deficincies_count,details
9374507,United States of America,"Long Beach, California",12/11/2023,N,US Coast Guard,Standard Examination,,,
9374507,Australia,Dampier,01/09/2023,N,Indian Ocean MoU,Initial inspection,,,
9374507,Australia,Dampier,01/09/2023,N,Tokyo MoU,Initial inspection,,,
9374507,France,Le Port,02/12/2022,N,Indian Ocean MoU,Initial inspection,,,
9374507,United States of America,"Long Beach, California",02/06/2021,N,US Coast Guard,Standard Examination,,,
9374507,Australia,Brisbane,03/07/2020,N,Tokyo MoU,Follow-up inspection,,,
9374507,Australia,Fremantle,03/03/2020,N,Indian Ocean MoU,Initial inspection,,1,
9374507,Australia,Fremantle,03/03/2020,N,Tokyo MoU,Initial inspection,,1,
9374507,Australia,Port Hedland,15/08/2019,N,Indian Ocean MoU,Initial inspection,,,
9374507,Australia,Port Hedland,15/08/2019,N,Tokyo MoU,Initial inspection,,,
9374507,United States of America,"Cape Canaveral, Florida",08/04/2019,N,US Coast Guard,Standard Examination,,1,
9374507,Chile,Quintero,13/03/2019,N,Vina Del Mar MoU,Follow-up inspection,,,
9374507,Chile,Quintero,13/03/2019,N,Tokyo MoU,Initial inspection,,1,
9374507,Chile,Quintero,13/03/2019,N,Vina Del Mar MoU,Initial inspection,,,
9374507,Japan,Kawasaki,06/09/2018,N,Tokyo MoU,Initial inspection,,,
9374507,Mexico,Manzanillo Col,06/03/2018,N,Vina Del Mar MoU,Initial inspection,,,
9374507,United States of America,"Houston, Texas",14/02/2018,N,US Coast Guard,Standard Examination,,,
9374507,Slovenia,Koper,05/05/2017,N,Paris MoU,More detailed inspection,,,
9374507,Spain,Valencia,19/04/2017,N,Paris MoU,More detailed inspection,,,
9374507,United States of America,"Miami, Florida",01/02/2017,N,US Coast Guard,Standard Examination,,,
9374507,United States of America,"New Haven, Connecticut",14/01/2017,N,US Coast Guard,Standard Examination,,6,
9374507,Tunisia,La Skhira,27/02/2016,N,Mediterranean MoU,Initial inspection,,,
9374507,Spain,Barcelona,25/01/2016,Y,Paris MoU,More detailed inspection,2,10,
9374507,United States of America,"San Juan, Puerto Rico",20/11/2015,N,US Coast Guard,Standard Examination,,1,
9374507,United States of America,"New York, New York",31/12/2014,N,US Coast Guard,Standard Examination,,,
9374507,Finland,Skoldvik,24/11/2014,N,Paris MoU,Initial inspection,,,
9374507,United States of America,"Boston, Massachusets",12/11/2013,N,US Coast Guard,Standard Examination,,,
9374507,France,Fos sur mer,19/05/2013,N,Paris MoU,More detailed inspection,,2,
9374507,Slovenia,Koper,21/04/2011,N,Paris MoU,Initial inspection,,,
