year_month,Westridge,Suncor,Kitimat,Parkland
2024-05,5,,,
2024-06,25,3,,
2024-07,46,9,,
2024-08,67,12,,
2024-09,88,15,,
2024-10,113,20,,
2024-11,137,24,,
2024-12,160,28,,
2025-01,185,33,,
2025-02,206,38,,
2025-03,236,40,,
2025-04,265,45,2,
2025-05,280,47,,
2025-06,295,52,4,1
2025-07,308,55,9,2
2025-08,323,59,13,
2025-09,342,64,18,
2025-10,365,71,25,
2025-11,389,75,35,3
2025-12,407,81,42,
2026-01,426,87,51,
2026-02,440,94,62,4
2026-03,461,97,75,
2026-04,488,102,88,
2026-05,515,110,102,6
2026-06,544,114,112,7
2026-07,562,118,,8
