ImoNumber,count
9455703,28
9863417,19
9795050,14
9904883,12
9607954,11
9783019,11
9783007,10
9953042,9
9815604,9
9829100,9
9953901,9
9899296,9
9408310,8
9470131,8
9829095,8
9408322,8
9799874,8
9592226,8
9893060,8
9927213,8
9592238,7
9752395,7
9986829,7
9794410,6
9473054,6
9953054,6
9390599,6
9939163,6
9971719,6
9986817,6
9422524,5
9361524,5
9868780,5
9930117,5
9893096,5
9394947,5
9889136,5
9893113,5
9783942,5
9568172,5
9779939,4
9397755,4
9593414,4
9846005,4
9492323,4
9688362,4
9915909,4
9945306,4
9683374,4
9484089,4
9893034,3
9845960,3
9394959,3
9706839,3
9784001,3
9487184,3
9773040,3
9924089,3
9760500,3
9361512,3
9937969,3
9862487,3
9952074,3
9414034,3
9601833,3
9683001,3
9831294,3
9732369,3
9878876,3
9321938,2
9854791,2
9439199,2
9785732,2
9706425,2
9614062,2
9973834,2
9596260,2
9417177,2
9825477,2
9704441,2
9793387,2
9682409,2
9654581,2
9686766,2
9886720,2
9877793,2
9484912,2
9718844,2
9858060,2
9568184,2
9687021,2
9828900,2
9947615,2
9759898,2
9874466,2
9440136,2
9926908,2
9453975,2
9656890,2
9381847,2
9735634,2
9838242,2
9933200,2
9947500,2
9916604,2
9864746,2
9975533,2
9767235,2
9737395,2
9624768,2
9810501,2
9422835,1
9970363,1
9829497,1
9883041,1
9374507,1
9635858,1
9845996,1
9787170,1
9800647,1
9724714,1
9382061,1
9390769,1
9792852,1
9561930,1
9346859,1
9798349,1
9829459,1
9366299,1
9413028,1
9470260,1
9967249,1
9683025,1
9793375,1
9718428,1
9451692,1
9718818,1
9877561,1
9934644,1
9887621,1
9710490,1
9850214,1
9901867,1
9539561,1
9725304,1
9800661,1
9901427,1
9417452,1
9894739,1
9899985,1
9402483,1
9732709,1
9783899,1
9876385,1
9354909,1
9899480,1
9667942,1
9814179,1
9791298,1
9917646,1
9854727,1
9902122,1
9694464,1
9658379,1
9890927,1
9893101,1
9543524,1
9855496,1
9577032,1
9701229,1
9726607,1
9426295,1
9889124,1
9323821,1
9718777,1
9594664,1
9482562,1
9420629,1
9740421,1
9686699,1
9414266,1
9935155,1
9460136,1
9732694,1
9732929,1
9590905,1
9705641,1
9717761,1
9956953,1
9918157,1
9947603,1
9418133,1
9904209,1
9874454,1
1031513,1
9915894,1
9797747,1
9397793,1
9682605,1
9726619,1
9986840,1
9732797,1
9392377,1
9581447,1
9402495,1
9937957,1
9339985,1
9722649,1
9882413,1
9782997,1
9426207,1
9917567,1
9645401,1
9375329,1
9654880,1
9397808,1
9407378,1
9442158,1
9661247,1
9593426,1
9947627,1
