ImoNumber,count
9794410,1
9422524,3
9592238,3
9422835,1
9893034,3
9408310,4
9470131,4
9361524,6
9829095,4
9970363,1
9752395,1
9408322,4
9799874,4
9473054,4
9953042,5
9829497,1
9845960,2
9883041,1
9783007,4
9868780,2
9374507,1
9815604,4
9779939,2
9607954,6
9930117,1
9635858,1
9321938,1
9829100,2
9854791,2
9845996,1
9787170,1
9800647,1
9724714,1
9382061,1
9390769,2
9792852,2
9561930,1
9346859,1
9592226,3
9798349,1
9439199,1
9953901,4
9829459,1
9366299,1
9893060,1
9785732,1
9413028,1
9394959,1
9706839,1
9470260,1
9967249,1
9795050,1
9706425,1
9783019,1
9299903,1
9953054,1
9683025,1
9784001,1
7916272,1
9501916,1
9793375,1
9718428,3
9487184,2
9773040,2
